ITINERARI,SECCIO,LENGTH,SOURCETHM,X_MID,Y_MID,X_BEG,Y_BEG,Y_END,X_END,BUFF_DIST,ORIG_FID,_count,_sum,_mean
"336","2",453.53035630600,,361384.20752000000,4576079.94866000023,361303.23700000002,4575877.86589999963,4576177.98539999966,361580.69300000003,500.00000000000,"2807",12312.000000000000000,22048.866527706384659,1.790843610112604
"336","3",548.97657467600,,361790.24650900002,4576345.20093999989,361580.69300000003,4576177.98539999966,4576584.21109999996,361908.97009999998,500.00000000000,"2808",13323.000000000000000,30762.952084414660931,2.309010889770672
"336","4",499.61257682400,,361977.73011700000,4576809.23644999973,361908.97009999998,4576584.21109999996,4577031.64319999982,362068.98810000002,500.00000000000,"2809",12772.000000000000000,29484.837297145277262,2.308552873249709
"336","5",373.49240833600,,362055.32350499998,4577202.23661999963,362068.98810000002,4577031.64319999982,4577342.75109999999,361946.05579999997,500.00000000000,"2810",11413.000000000000000,23978.105770135298371,2.100946794894883
"336","6",572.21161719100,,362016.83606200002,4577602.73481999990,361946.05579999997,4577342.75109999999,4577863.32440000027,362103.32669999998,500.00000000000,"2811",13509.000000000000000,31313.873432327061892,2.318000846274858
"495","1",489.32360911000,,395456.10206700000,4632051.64238999970,395656.35769999999,4632101.91060000006,4632286.82299999986,395414.14850000001,500.00000000000,"2812",12071.000000000000000,109174.232739649713039,9.044340381049601
"495","2",508.84220478100,,395183.85329800000,4632354.53739999980,395414.14850000001,4632286.82299999986,4632317.20770000014,394980.08179999999,500.00000000000,"2813",12668.000000000000000,113478.662360034883022,8.957898828547117
"495","3",497.48312243600,,394778.40957600001,4632266.33932000026,394980.08179999999,4632317.20770000014,4632200.44379999954,394579.00410000002,500.00000000000,"2814",12446.000000000000000,117115.770942889153957,9.409912497419986
"495","4",544.90752284000,,394346.51929600001,4632174.79428000003,394579.00410000002,4632200.44379999954,4632181.34480000008,394106.73950000003,500.00000000000,"2815",12826.000000000000000,147847.705875813961029,11.527187422096832
"495","5",465.40063858800,,393896.47183800000,4632161.09331000037,394106.73950000003,4632181.34480000008,4632093.22929999977,393679.61790000001,500.00000000000,"2816",12370.000000000000000,150345.717534601688385,12.154059622845731
"495","6",584.14787802000,,393460.80707300000,4632104.32890000008,393679.61790000001,4632093.22929999977,4632267.29000000004,393421.78230000002,500.00000000000,"2817",12364.000000000000000,159744.180362999439240,12.920105173325741
"464","1",553.98428534900,,314750.86502500001,4661291.78082999960,315015.77889999998,4661283.63210000005,4661270.93209999986,314539.52799999999,500.00000000000,"2818",12849.000000000000000,78021.874796867370605,6.072213775147278
"464","2",478.35392603300,,314314.65349699999,4661206.23706999980,314539.52799999999,4661270.93209999986,4661100.27550000045,314104.55209999997,500.00000000000,"2819",12608.000000000000000,75027.255694150924683,5.950765838685828
"464","3",460.88753275600,,313889.71934200003,4661077.31144000031,314104.55209999997,4661100.27550000045,4661073.28789999988,313660.05119999999,500.00000000000,"2820",12398.000000000000000,77496.438411951065063,6.250720955956692
"464","4",575.83087255900,,313390.36592600000,4661166.59652999975,313660.05119999999,4661073.28789999988,4661301.09460000042,313139.35019999999,500.00000000000,"2821",13592.000000000000000,85932.646566510200500,6.322295951038126
"464","5",527.86220814200,,312897.24132199999,4661388.15007000044,313139.35019999999,4661301.09460000042,4661388.40730000008,312645.63669999997,500.00000000000,"2822",13067.000000000000000,88592.591174960136414,6.779872287055952
"268","1",515.60579790700,,377855.31961700000,4601714.89788000006,378058.67290000001,4601573.52730000019,4601903.17819999997,377683.65710000001,500.00000000000,"2823",12981.000000000000000,86011.670187860727310,6.625966426920940
"268","2",449.08118444800,,377667.47365399997,4602117.48352000024,377683.65710000001,4601903.17819999997,4602261.56020000018,377538.48969999998,500.00000000000,"2824",12058.000000000000000,69828.244141668081284,5.791030365041308
"268","3",547.36248864000,,377271.49637800001,4602251.23792999983,377538.48969999998,4602261.56020000018,4602364.38719999976,377059.13480000000,500.00000000000,"2825",13171.000000000000000,64460.916426092386246,4.894155069933368
"268","4",489.28621380500,,376903.15871699998,4602534.49832000025,377059.13480000000,4602364.38719999976,4602536.77340000030,376722.52789999999,500.00000000000,"2826",12156.000000000000000,50337.707345604896545,4.140976254162957
"268","5",600.08920034600,,376538.13880399999,4602740.47092000023,376722.52789999999,4602536.77340000030,4602929.33029999956,376320.89809999999,500.00000000000,"2827",13724.000000000000000,62511.503619477152824,4.554904081862224
"268","6",781.12200656300,,376199.44140000001,4603219.39759999979,376320.89809999999,4602929.33029999956,4603446.85209999979,376260.41170000000,500.00000000000,"2828",13867.000000000000000,71876.177122419700027,5.183253560425450
"497","1",524.64741191100,,336484.34329900000,4667652.41227999981,336337.04650000000,4667843.18259999994,4667476.18360000011,336640.67190000002,500.00000000000,"2829",12888.000000000000000,37144.069140248000622,2.882066196481068
"497","2",528.90886608300,,336763.55239899998,4667246.05769000016,336640.67190000002,4667476.18360000011,4667026.89360000007,336908.35420000000,500.00000000000,"2830",13123.000000000000000,35796.271351777017117,2.727750617372325
"497","3",500.45819299500,,337115.18159200001,4666894.91500000004,336908.35420000000,4667026.89360000007,4666719.01169999968,337289.54129999998,500.00000000000,"2831",12838.000000000000000,36874.014354012906551,2.872255363297469
"497","4",508.53471403200,,337453.06230400002,4666539.52159999963,337289.54129999998,4666719.01169999968,4666328.83889999986,337584.65379999997,500.00000000000,"2832",12875.000000000000000,36615.339962225407362,2.843909899978672
"497","5",484.89906168900,,337710.08783199999,4666124.85377999954,337584.65379999997,4666328.83889999986,4665932.04490000010,337831.52690000000,500.00000000000,"2833",12616.000000000000000,31882.330821320414543,2.527134656097052
"497","6",550.49373957200,,337989.37977800000,4665711.86902000010,337831.52690000000,4665932.04490000010,4665527.68389999960,338190.95880000002,500.00000000000,"2834",13333.000000000000000,40685.142860382795334,3.051462001078737
"453","1",612.65099082100,,513461.79290800000,4696483.15878999978,513641.52639999997,4696627.57500000019,4696413.84130000044,513171.82449999999,500.00000000000,"2835",13340.000000000000000,159146.784235239028931,11.930043795745055
"453","2",491.29467254700,,512941.92072900000,4696441.81154999975,513171.82449999999,4696413.84130000044,4696549.39639999997,512734.23509999999,500.00000000000,"2836",12624.000000000000000,150933.609121561050415,11.956084372747233
